nodes	continuous_float
S1
S2	10.30489359
S3	3.88095222
S4	12.45620876
S5	3.552618635
S6	18.16372367
S7	8.479725191
S8	9.504161552
S9	15.92264664
S10	16.04009743
S11	0.401485368
S12	7.650990887
S13	11.90599627
S14	22.90502294
S15	3.805553716
S16	9.777670618
S17	12.23849506
S18	7.529006765
S19	19.98305739
S20	0.256257574
S21	8.370430341
S22	5.17906625
S23	8.462966124
S24	9.37312436
S25	5.007792345
S26	19.05012362
S27	11.56277123
S28	12.98955606
S29	10.84673341
S30	17.62235615
S31	10.8830859
S32	24.12265966
S33	18.01253668
S34	0.423154157
S35	7.047546536
S36	6.192815382
S37	2.752785237
S38	10.05149881
S39	17.29604334
S40	22.90226501
S41	8.997342776
S42	13.34295539
S43	1.457501354
S44	14.79147145
S45	5.533370426
S46	6.621895457
S47	8.282636392
S48	23.34565757
S49	1.51196655
S50	8.34492741
S51	18.85518443
S52	1.893176659
S53	20.51624807
S54	6.472609257
S55	22.29610907
S56	6.947729916
S57	8.631310322
S58	22.76807724
S59	9.216563511
S60	8.89776457
